Date,Open,High,Low,Close,Volume
2024-05-29,3515.3938108861275,3564.8975823022824,3514.761115600362,3538.563720703125,1506146
2024-05-30,3530.0451806620645,3547.4711574555445,3512.229651835461,3538.466064453125,2701849
2024-05-31,3540.121319807171,3645.6514264910425,3540.121319807171,3572.150390625,6432341
2024-06-03,3753.3229176403197,3816.115191936076,3700.4607745373196,3793.967529296875,5767666
2024-06-04,3750.0128970127853,3794.794982491131,3232.098343219742,3313.095458984375,9920882
2024-06-05,3350.3814602731854,3350.3814602731854,3090.9861452951395,3318.741943359375,10372458
2024-06-06,3346.974201804827,3444.52122088405,3295.6695546237215,3390.3447265625,8374602
2024-06-07,3373.308047710879,3454.061783992392,3354.762375320683,3438.97216796875,5879660
2024-06-10,3427.8253778442504,3490.0821655919312,3427.8253778442504,3449.92431640625,3151257
2024-06-11,3475.479110803564,3542.652236474557,3457.1768203317893,3503.419189453125,2548176
2024-06-12,3519.2879023389096,3552.3389818532046,3483.267528234749,3534.182861328125,2242274
2024-06-13,3568.4505043786644,3617.5159952910067,3538.7580366706984,3605.59033203125,2965500
2024-06-14,3619.561011885354,3621.5080592290255,3577.6994939964165,3590.16064453125,1746508
2024-06-18,3609.8257298360136,3611.772777155235,3577.699449068865,3591.5234375,1936792
2024-06-19,3592.3022101835263,3601.063922891291,3480.346992250977,3494.901123046875,2936151
2024-06-20,3517.4678877586944,3545.284331357324,3497.501094013525,3526.7890625,2618715
2024-06-21,3536.2087729009913,3542.046724440859,3449.8161449124823,3468.45849609375,4508508
2024-06-24,3454.0843244488224,3499.8561062184517,3439.0231713752937,3465.12255859375,2330559
2024-06-25,3489.553779970902,3524.3364345784094,3461.5902532651035,3520.2646484375,2158039
2024-06-26,3533.2161484970234,3556.6661681883425,3524.6308551620195,3535.12939453125,2480187
2024-06-27,3529.7328583391873,3533.5104831538574,3483.1760878347363,3497.304931640625,5519875
2024-06-28,3473.364380945658,3508.637623854451,3471.5002416439474,3481.6552734375,3141514
2024-07-01,3468.654560018073,3474.737805435941,3447.8536694545537,3460.16748046875,2961120
2024-07-02,3468.507553407131,3565.5949067142474,3468.507553407131,3558.236083984375,5087748
2024-07-03,3581.6372910517402,3581.7843716905904,3537.1408464442075,3546.31494140625,1923801
2024-07-04,3548.0317474576927,3575.4064706659233,3498.678531196746,3506.037353515625,1851947
2024-07-05,3506.037575430059,3569.5196387433475,3500.8372927532337,3558.873779296875,1635209
2024-07-08,3571.5801927576968,3577.074636691156,3526.3478663776414,3563.632568359375,1706210
2024-07-09,3581.2937847862586,3615.6349580650312,3577.46729272463,3597.0908203125,2425176
2024-07-10,3615.683945584045,3624.465425981089,3533.216025705983,3581.3427734375,2231438
2024-07-11,3591.1056547500657,3615.2426902147554,3535.1785994711713,3552.93798828125,2942924
2024-07-12,3561.6701476838834,3598.660448140635,3544.6957489333035,3580.656005859375,2001185
2024-07-15,3600.91707375713,3604.841779014631,3568.538255382747,3582.863525390625,943302
2024-07-16,3577.466961151237,3582.8634307377356,3552.839340493037,3568.0966796875,2220953
2024-07-18,3571.48194403035,3609.9931160916663,3530.9102057987047,3587.376953125,3240772
2024-07-19,3582.2749509897058,3590.0752552747235,3542.0467195488463,3550.38671875,2432533
2024-07-22,3549.7977943876153,3592.920686284693,3500.4448159864874,3582.71630859375,3639057
2024-07-23,3600.524720570956,3644.088853371615,3394.870068030638,3471.450927734375,6957691
2024-07-24,3482.1949818901894,3490.9764626055644,3435.098515524811,3453.201171875,3184060
2024-07-25,3472.3832227089542,3562.553236573613,3465.5640947496818,3551.0244140625,4691483
2024-07-26,3560.6890775280353,3631.333776779074,3528.4084704938305,3610.630859375,2617659
2024-07-29,3631.3336586429027,3718.6583534873284,3617.2048150703467,3703.8916015625,4159919
2024-07-30,3703.7935990607602,3723.5642064734407,3668.2259567723117,3713.408935546875,1979989
2024-07-31,3705.952149876589,3750.0559785335436,3692.264787816845,3743.187744140625,2703636
2024-08-01,3738.2819788329634,3766.6869869048573,3694.9631378096365,3708.159912109375,1998663
2024-08-02,3660.1314394799247,3678.332069864614,3588.260268966907,3596.6982421875,2512525
2024-08-05,3529.2912545755607,3539.985980741122,3445.4006784659664,3461.590087890625,2900685
2024-08-06,3481.2136873584077,3566.4778162956036,3479.251334659784,3508.8828125,2125532
2024-08-07,3561.6701876062925,3586.9354788820124,3542.390167945932,3569.764892578125,1613097
2024-08-08,3552.8394749391305,3560.4435914624055,3480.673908283438,3486.6591796875,2038088
2024-08-09,3532.234874417838,3537.680451091567,3508.392241106516,3524.4345703125,848232
2024-08-12,3511.63023194983,3543.0278758230893,3495.9314100132005,3504.712890625,1965035
2024-08-13,3512.6112632837126,3539.103024207919,3478.466279072401,3484.942138671875,1316218
2024-08-14,3491.957483252983,3511.335715945336,3469.930122354727,3478.46630859375,1584372
2024-08-16,3510.6491646598424,3513.4944804062598,3466.4962265911745,3501.180908203125,2808865
2024-08-19,3532.08785281875,3532.1367200012605,3480.232585824866,3488.131103515625,1898535
2024-08-20,3494.9501913347194,3512.611365799634,3481.213722306453,3505.44873046875,1285569
2024-08-21,3522.422966252373,3547.246774898472,3514.475342293247,3528.359130859375,1714248
2024-08-22,3539.1522437361164,3544.156099454285,3516.486973960555,3538.612548828125,1734927
2024-08-23,3538.612560051415,3553.820793707535,3519.5287276628987,3530.812255859375,1825180
2024-08-26,3543.0276947678326,3579.3312186411117,3527.034472828172,3573.345947265625,1606911
2024-08-27,3574.082019867214,3666.6561064927087,3567.5572928037163,3633.001708984375,3315435
2024-08-28,3635.258357368185,3654.2930826386964,3615.6348304728103,3619.608642578125,1278175
2024-08-29,3621.031354915697,3640.1642939269036,3582.814583620265,3614.114013671875,2165489
