Date,Open,High,Low,Close,Volume
2024-05-29,3587.1359229136956,3587.1359229136956,3541.561706702611,3544.96337890625,1568095
2024-05-30,3520.126111198893,3536.342645636951,3462.7620831275535,3482.0078125,2919230
2024-05-31,3485.6425278948263,3494.7760752132112,3405.25839205768,3421.28857421875,10956800
2024-06-03,3478.9323423009814,3496.407154925521,3444.6350645492275,3451.019287109375,2156773
2024-06-04,3448.3629237466353,3490.3024728192295,3347.2420109827135,3462.3427734375,3395997
2024-06-05,3463.274759262659,3526.4637252968946,3448.3629196102897,3491.65380859375,2799670
2024-06-06,3523.8540736442465,3578.748191817024,3487.0404698598118,3569.894287109375,4328036
2024-06-07,3576.324932841619,3648.74050345654,3576.324932841619,3629.1220703125,4552445
2024-06-10,3630.101057972248,3640.259657979909,3580.6122978489143,3596.269775390625,1734661
2024-06-11,3583.5011888553586,3616.0741905653326,3579.7732292310616,3590.118408203125,1419898
2024-06-12,3610.9016510674905,3628.70274953458,3567.1447698788693,3571.05908203125,2177001
2024-06-13,3594.498879632959,3625.4409004223003,3590.0252823719024,3614.396728515625,1932323
2024-06-14,3624.50915875349,3624.50915875349,3567.6577679887782,3571.432373046875,1860730
2024-06-18,3565.840744067161,3580.7059405566774,3536.949051157932,3555.635498046875,1774045
2024-06-19,3567.3310887560774,3573.1096082285862,3534.991084379514,3543.14599609375,1509050
2024-06-20,3537.834111884448,3550.835327141292,3522.9689165897294,3529.67919921875,2846526
2024-06-21,3566.725647697406,3614.0707841122357,3539.7445833273214,3551.580810546875,4642195
2024-06-24,3549.7166737784796,3594.6851882543083,3533.4534948795167,3557.21923828125,1702154
2024-06-25,3557.4055898723664,3585.9709904295314,3534.9445413738563,3577.396728515625,1338808
2024-06-26,3583.035591907639,3603.958722115837,3579.7736268740387,3593.61376953125,1639845
2024-06-27,3570.453701121453,3673.9045914436874,3558.4311210986525,3666.58837890625,4526556
2024-06-28,3651.3502171183336,3690.6801469139846,3632.757063400671,3638.62841796875,2731571
2024-07-01,3619.849165498956,3729.544343158271,3619.849165498956,3707.642578125,2658723
2024-07-02,3721.9953338274368,3749.7684536400434,3711.6967988787364,3744.176513671875,2307449
2024-07-03,3746.5999407449876,3752.2851709732076,3686.02058846926,3695.573486328125,1821198
2024-07-04,3727.820255141,3772.0897796971713,3711.2774328068517,3747.485107421875,2518001
2024-07-05,3737.2798920275045,3752.8907244942034,3716.776112071244,3738.95751953125,1668616
2024-07-08,3748.4639170826727,3757.0848248979423,3707.503000592041,3721.62255859375,1758882
2024-07-09,3713.980294044427,3734.4374298305197,3704.7536837012267,3714.4462890625,1305801
2024-07-10,3712.7687221974984,3731.03581821931,3636.6251805066217,3643.288818359375,2669716
2024-07-11,3663.652449012925,3709.319956009016,3630.6600961977388,3656.848876953125,4872189
2024-07-12,3709.3201197843787,3914.31149788065,3701.2118524670477,3899.399658203125,13509164
2024-07-15,3947.6299180714223,3951.637292730522,3874.328546212561,3885.652587890625,4848030
2024-07-16,3888.2621642902236,3909.2783561355113,3863.005145027192,3894.273681640625,2029521
2024-07-18,3877.0786873323054,4030.8570487288994,3877.0786873323054,4022.049560546875,5613364
2024-07-19,4033.11900855646,4071.746392777355,4003.086029171015,4019.106689453125,3903354
2024-07-22,4016.8178011381533,4035.5008910284364,3984.168919102834,4005.04736328125,1896386
2024-07-23,4000.9843192418566,4074.502471790674,3985.3837543169,4019.060302734375,2365208
2024-07-24,4005.187240622732,4053.3897019049946,3987.0647353547406,4022.70263671875,1809793
2024-07-25,4012.1938064248666,4057.033224983282,3992.763574168281,4037.883056640625,2810342
2024-07-26,4063.5718504032297,4131.251522639573,4051.4743678448162,4098.9296875,3552210
2024-07-29,4124.292751189664,4139.239225486161,4083.1899468742968,4092.625,1746803
2024-07-30,4101.96659171143,4108.412167596899,4042.3672511181926,4077.912109375,1797906
2024-07-31,4063.572272159268,4123.358163060002,4058.9014994326476,4096.5947265625,2330091
2024-08-01,4109.71966219366,4128.309247535578,4077.6313604093743,4107.5712890625,2202244
2024-08-02,4077.5846664483884,4108.4117670194755,3988.839982986167,4001.030517578125,2811282
2024-08-05,3959.8816965119863,3959.8816965119863,3839.8428198897195,3881.459228515625,2787771
2024-08-06,3896.312115658603,3977.863625691211,3886.830082040627,3896.545654296875,2203067
2024-08-07,3949.6051583477497,3965.43925930358,3905.04580700895,3923.869384765625,1237666
